date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.30m,n.mate.1hr,ratio.30m,ratio.1hr
9817,27,OS,5,8,83,10,11,44.3,52.3,NA,NA,NA,0,2,0,0.4
9821,30,OS,5,8,83,10,10,3,3.4,17.7,46.8,NA,3,4,0.6,0.8
,,,,,,,,,,,,,11,19,2.2,3.8
,,,,,,,,,,,,, ,,1.3,3.16
9525,23,85,5,10,85,10,10,24.2,NA,NA,NA,NA,1,1,0.2,0.2
9529,2,85,5,13,85,10,14,NA,NA,NA,NA,NA,0,0,0,0
9602,5,85,5,16,85,10,16,48.7,53.2,NA,NA,NA,0,2,0,0.4
9605,11,85,5,19,85,10,15,NA,NA,NA,NA,NA,0,0,0,0
9803,26,85,5,4,85,10,9,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,1,3,0.2,0.6
,,,,,,,,,,,,, ,,0,0.2
9525,22,85,5,10,OS,10,9,37.1,38.5,38.8,39.2,NA,0,4,0,0.8
9529,1,85,5,13,OS,10,9,43.7,43.8,46.9,NA,NA,0,3,0,0.6
9602,4,85,5,16,OS,10,7,19.1,NA,NA,NA,NA,1,1,0.2,0.2
9605,10,85,5,19,OS,10,6,29.7,59.7,59.7,NA,NA,1,3,0.2,0.6
9803,25,85,5,4,OS,9,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,2,11,0.4,2.2
